model_id,model_dir,meta_json,urdf_relpath,anno_id,model_cat,original_model_cat,time_in_sec,user_id,version
1941c37c6db30e481ef53acb6e05e27a,100013,100013\meta.json,100013\mobility.urdf,13,Remote,,192,kaichun,2
11e7166d-8424-4edf-98cf-783b60539214,100015,100015\meta.json,100015\mobility.urdf,15,KitchenPot,,117,fxiang,1
1497ccf1ac032d35ce1decf313ece97f,100017,100017\meta.json,100017\mobility.urdf,17,KitchenPot,,21,fxiang,1
1fde7ce0a20f1502f54e1b6f41fdd78a,100021,100021\meta.json,100021\mobility.urdf,21,KitchenPot,,14,fxiang,1
2266db44d8411d909d0d74633db4834d,100023,100023\meta.json,100023\mobility.urdf,23,KitchenPot,,49,fxiang,1
2986eeb703150292732208e596b26ebc,100025,100025\meta.json,100025\mobility.urdf,25,KitchenPot,,18,fxiang,1
3e2ba8bd0af27797154dddaf2978e13f,100028,100028\meta.json,100028\mobility.urdf,28,KitchenPot,,14,fxiang,1
464e9b98-d955-4597-b746-4e8b73eab34b,100031,100031\meta.json,100031\mobility.urdf,31,Kettle,KitchenPot,17,fxiang,1
4b6057e5d0da3057c9fd52eb49064d14,100032,100032\meta.json,100032\mobility.urdf,32,KitchenPot,,32,fxiang,1
59d325f1-0de4-4ce9-9374-c1304d0cc81c,100033,100033\meta.json,100033\mobility.urdf,33,KitchenPot,,64,fxiang,1
7c4df032-d578-4bfb-958e-a7c7c31d655f,100038,100038\meta.json,100038\mobility.urdf,38,KitchenPot,,34,fxiang,1
8532629c-7612-49e9-88bd-cffb6e9aea2e,100040,100040\meta.json,100040\mobility.urdf,40,KitchenPot,,19,fxiang,1
d1cf7685d598f3929405d3391cbdb79b,100045,100045\meta.json,100045\mobility.urdf,45,KitchenPot,,17,fxiang,1
d362a777-a416-46e0-ba51-13466ea1da9b,100047,100047\meta.json,100047\mobility.urdf,47,KitchenPot,,64,fxiang,1
f8439f99-4d73-47ff-bbb9-e38f54922933,100051,100051\meta.json,100051\mobility.urdf,51,KitchenPot,,42,fxiang,1
u7db748c0-5e99-4ca2-8a00-ed8362c6e84a,100054,100054\meta.json,100054\mobility.urdf,54,KitchenPot,,17,fxiang,1
u90e167cc-b75d-420e-bee9-9e7713761a19,100055,100055\meta.json,100055\mobility.urdf,55,KitchenPot,,27,fxiang,1
uc0a60da7-cad9-43de-8a1c-5eeff26f9df3,100056,100056\meta.json,100056\mobility.urdf,56,KitchenPot,,33,fxiang,2
uc541d7b9-362c-4cdf-9a52-ab07c0bd80d4,100057,100057\meta.json,100057\mobility.urdf,57,KitchenPot,,25,fxiang,1
uc9c0aef7-2ff5-4af8-9d26-6748ca033be1,100058,100058\meta.json,100058\mobility.urdf,58,KitchenPot,,147,fxiang,2
uf08b086a-5d74-495d-ad50-8c0daa97c679,100060,100060\meta.json,100060\mobility.urdf,60,KitchenPot,,55,fxiang,1
16fca2d5847d0e94acaa1a48458c67ff,100061,100061\meta.json,100061\mobility.urdf,61,USB,,61,fxiang,1
258881f3193bc87425ca7b309cff23fa,100064,100064\meta.json,100064\mobility.urdf,64,USB,,17,fxiang,1
344cfc7a4e7d0522d9e7d3ab3915efa1,100065,100065\meta.json,100065\mobility.urdf,65,USB,,15,fxiang,1
3624c1c5143f7f291f90eb8c44407fd5,100068,100068\meta.json,100068\mobility.urdf,68,USB,,12,fxiang,1
3bdbf0f87f0122ece388e82e1c98d757,100071,100071\meta.json,100071\mobility.urdf,71,USB,,11,fxiang,1
40b71ed4d98313de3fa8ab0cd6b86a52,100072,100072\meta.json,100072\mobility.urdf,72,USB,,26,fxiang,1
441590e73bc1c5e82927226d23ff1d8,100073,100073\meta.json,100073\mobility.urdf,73,USB,,10,fxiang,1
1ec5f0c85d802d44d92523497b5e5a5f,100075,100075\meta.json,100075\mobility.urdf,75,Cart,,239,haozhu,2
51c7de5c-8725-48f1-a819-13165b876ee4,100078,100078\meta.json,100078\mobility.urdf,78,USB,,27,fxiang,1
521b6693028171b68a04632e06812aec,100079,100079\meta.json,100079\mobility.urdf,79,USB,,22,fxiang,1
606b6f93d0bf24b8130e3f9e914c5c0d,100082,100082\meta.json,100082\mobility.urdf,82,USB,,12,fxiang,1
2f3f2f89bedb2eebc53e0f0bcac3841a,100084,100084\meta.json,100084\mobility.urdf,84,Cart,,94,haozhu,1
73b486d93d872daf89a76a7d676244eb,100085,100085\meta.json,100085\mobility.urdf,85,USB,,16,fxiang,1
77e1fae66a95d73ac309d24d446c1721,100086,100086\meta.json,100086\mobility.urdf,86,USB,,48,fxiang,1
7bb4ad8d84187c7d1f5e1c31bbdc9621,100087,100087\meta.json,100087\mobility.urdf,87,USB,,9,fxiang,1
86e109b6f611de813782836b72b4a2aa,100092,100092\meta.json,100092\mobility.urdf,92,USB,,11,fxiang,1
97c1cde6736fab49f68b877f0cbc1f72,100095,100095\meta.json,100095\mobility.urdf,95,USB,,16,fxiang,1
ae475a85bc85451e35b553947f23c4ed,100103,100103\meta.json,100103\mobility.urdf,103,USB,,13,fxiang,1
b65a762df973c6fbd3183f83820325d7,100106,100106\meta.json,100106\mobility.urdf,106,USB,,106,fxiang,1
c2ba1c5587b44731e15526ded1d4961a,100108,100108\meta.json,100108\mobility.urdf,108,USB,,9,fxiang,1
c4d967819267c7571dc2053392a6e6f,100109,100109\meta.json,100109\mobility.urdf,109,USB,,40,fxiang,1
c952899bbbca2e0c57ac0b4e44f0b77,100113,100113\meta.json,100113\mobility.urdf,113,USB,,8,fxiang,1
ca44c1b39b29459ddfe89dd0e8aa2688,100116,100116\meta.json,100116\mobility.urdf,116,USB,,11,fxiang,1
de893096044e36f7600107759387361a,100123,100123\meta.json,100123\mobility.urdf,123,USB,,7,fxiang,1
e60749e210d6d6f4c592e3ff64aca318,100128,100128\meta.json,100128\mobility.urdf,128,USB,,156,fxiang,1
15b5c54a8ddc84353a5acb1c5cbd19ff,100129,100129\meta.json,100129\mobility.urdf,129,Box,,73,yuzhe,3
f8e33792066cceec9d46068d27fb8249,100133,100133\meta.json,100133\mobility.urdf,133,USB,,9,fxiang,1
26f22853a75c23ee103e42d04ec345ab,100141,100141\meta.json,100141\mobility.urdf,141,Box,,145,yuzhe,1
2d432156b924a37d467ca2ad6571afff,100142,100142\meta.json,100142\mobility.urdf,142,Pliers,,148,fxiang,1
